rating,review,location
5.0,"Best hospital in Houston. Friendly Staff, nice environment and some of the best doctors. The place is clean and the outpatient building is quite new. Food here is great too.",Houston Methodist Hospital
4.0,"I agree with below poster, the best hospital food there is!  But, points off for being in a hospital.,My only qualm is that the soups are never vegetarian, and I always want soup.  Instead I have to go to the salad bar (boo hoo) or the dessert bar (woo hoo) or the endless lines of grills, sandwiches, stir fries, etc.,Too many ways to ruin your triple bypass...",Houston Methodist Hospital
2.0,"The selling point of this cafe is the variety. It's OK food for relatively cheap, and if you work late in the med center it's a staple of your diet. ,Soups never seem fresh, sushi isn't really fresh, the hamburgers and grill make what you want on the spot. The cornbread is NEVER fresh, but the deserts are usually good,Recommendations: philidelphia cheesesteak. greasy and tasty",Houston Methodist Hospital
5.0,"I was never a patient here, but I came as a New York licensed nurse on an Evidence Based Practice research conference recently and was absolutely amazed.  The facility is gorgeous.  Every single person I met was curtious and professional.  From housekeeping to the top administrators ---everyone made me feel welcome and they were willing to help me find my way around.  Cant wait to come back for another conference...and if I were ever to live in Houston I would definitly apply to work here.",Houston Methodist Hospital
5.0,"First off this is a review of the cafe.  This is by far the best hospital food I've had.  Their cafe honestly better than Luby's cafe food.  They offer a wide variety of selections from fresh to order sandwiches, a BBQ area, Asian Stir frys, Homestyle cooking meals, Tex-Mex stand, Pasta Bar, Pizza, Sushi, fresh made salads and soup, and a made to order grill.  But what makes this a 5 star is their desserts.  Their desserts are amazing!  The presentation looks like something out of la madeline.  I am willing to make the walk from work to this cafe.",Houston Methodist Hospital
4.0,great hospital- but i hate that the parking is so expensive! I prefer riding the train to the hospital when time prevails.,Houston Methodist Hospital
3.0,At least a 5 hour wait in the ER.... :/,Houston Methodist Willowbrook Hospital
1.0,"WORST ER EVER!!! I was recently directed by my OB to come here after vomiting for 15+ hours. I arrived at 1 am and by 530 am had still never seen a dr. I was put in a room for 2.5 hours and no one ever came to check on me. I was not clinically dehydrated upon arrival but after 4 hours of continuous vomiting in this ER I was severely dehydrated. I was told by the asian nurse that there was only one dr working the ER. WHAT????? After being in the room for so long my husband finally opened the door to the hallway to see what was going on. We could hear woman gossiping and laughing at the desk. He pushed the button to call for a nurse and the lady from admitting came in the room and asked, literally, ""what do you want?"" Why was she coming in? She is not even medical personnel! My husband asked for the nurse, when she finally showed up she was irritated to be there and very cold and curt. I begged for something to stop the vomiting and she coldly informed me that it was against the law for her to give me anything with out orders from the dr. I asked how much longer the dr would be and she responded that there were still several people in front of me that I would just have to ""deal with it."" I finally began crawling to get out of the bed and told her we would be leaving and going to a different hospital to which she responded that I should do what ever I wanted. When I put my shoes on and began walking out the door she began YELLING that she would call the police if I left with the IV port in my arm. (this was put in but never used, why???) I told her to call the police. She RAN out the door to go call the police. She was clearly more concerned about the port than my welfare. My husband convinced me to let her remove it and she beraded me the entire time. I have never experienced such treatment at a medical facility in all my life. When I reached another emergency room, my pulse was 117 and I was severely dehydrated. I required two bags of fluids and the dr was in shock that I was left so long without care. He explained that dehydration is very serious during pregnancy. I informed my OB about my experience and he said he has had 3 other patients complain about the care given here as well as other physicians. His entire practice no longer refers patients to this hospital. I will continue to warn everyone I know about this horrible facility. By the way, 2 years previously my husband came in to the ER in the middle of the day with complaints of chest pain. He had a heart attack one year before this. He sat in the waiting room for 2 hours before they ever checked his cardiac enzymes. We thought this was an isolated incident. Apparently, it is the norm.",Houston Methodist Willowbrook Hospital
5.0,"I had surgery in feb '11 at this hospital and I give a big thumbs up to the nurses and other staff I dealt with. , I stayed 9 days in the hospital following surgery and although I yearned to be home, the stay was about as pleasant as one could get for a hospital. The rooms are all private and comfortable including a full sized sofa which pulls out to a twin sized bed for overnight stays by family and friends, modern arm chair and side table, flat screen 27"" tv with cable and DVD players, private bathroom, and personalized menu selections for each meal delivered about 20-45 mins after ordering.  The hospital also provides free wifi which was highly utilized during my stay.,My room also had a huge knee to ceiling window with a nice view of 249 which made my room seem more like a hotel suite. , Again the staff and the nurses were very pleasant and such a joy to be around.  They all seemed to enjoy their jobs and aimed to please the patients.  I still remember my nurses names who I enjoyed the most; Shasha, Alyssa, and Mary Ann.",Houston Methodist Willowbrook Hospital
3.0,"I went to St. John for an outpatient surgical procedure.  I found the registration process to be simple and quick and the nursing staff to be friendly and helpful.  The facility seemed clean and in good repair.  Bright lighting and decor in the lobby and waiting room was a nice change from some other hospitals I have been in.,My procedure went well and recovery was quick.  The friendliness of the nurses in the outpatient surgery unit helped to make me feel comfortable.",Houston Methodist St John Hospital
