rating,review,location
1,"I went to emergency room and was treated like a horse. Dr. weller did not look at test results nor examine me , he looked at my face and said I was not sick when in reality I had a severe torn rotor cuff that was inflamed. My whole arm was swollen. He left out of the room saying noyhing was wrong with me and he was doing nothing. He left me in severe pain, and elevated  pressure, I asked his name and he sais Skovosky or something. I had to get his name from the nurse.",Houston Methodist Willowbrook Hospital
1,"Did not receive proper medical attention and diagnoses. The nurses were friendly, but the doctors were not as knowledgeable as they are at the downtown hospitals.",Houston Methodist Willowbrook Hospital
1,"I took my mom to the ER because she was having palpitations that wouldn't go away and she felt she was going to pass out. When we checked in we were told to wait for the nurse. After awhile, I asked how long it would be because she didn't look good and she has a history of PEs. The lady at the desk said "" Oh she has panic attacks?"" I said NO pulmonary embolism! We still waited another 5-10 minutes before they took her back. Someone took her vitals and did an EKG but never introduced he,rself so we are not sure if that was the nurse or not. They did not leave her on a monitor. They left her in the room for another 20 minutes or so without saying a word. She saw a doctor walking around aimlessly as if he were lost. She asked the nurse...or at least who she thought was a nurse... if that was the only doctor they had. She said yes, and very rudely said "" I have someone coming in on an ambulance, I need to see him first. I'll get to you when I can"" So my mom said, I guess yall are busy, maybe I should go somewhere else. The lady replied, again very rudely, ""Yes we are busy. I can't force you to stay so if you want to go then go"".....so we left. We are both nurses. I work in the ICU/CCU. Never again will we go back there. We thought since it was Methodist now it would be better....IT'S NOT! The hospital I work at would have immediately taken her to the back, hooked her up to a monitor, placed an IV and drew labs. Next time we will make the extra drive to go there instead",Houston Methodist St John Hospital
1,Avoid at all costs unless you want being harassed by collection agencies for bills that did not bother to submit to insurance company.,Houston Methodist St John Hospital
5,"Kind, personal, and caring people. Excellent and friendly service. Job well done--made the extra effort to work out the problem. Completed results were as though nothing happened that required me to be in their facility in the first place. The place to go to for satisfaction.",Houston Methodist St John Hospital
5,"My husband was admitted to this hospital after getting a horrible infection that caused Gangrene. The staft could not have been nicer.  We were told that the surgeon did an excellent job of getting all of the infection cleaned out.   ,,I have heard that this hospital used to not be so good but that has changed. I am not sure if they got new owners or what.  Now they send out surveys after you leave the hospital so I am sure that helps them to be on their toes.",San Jacinto Methodist Hospital
2,"Before I went to their ER for treatment, I called and made sure that this hospital is at my insurance networking- Blue Cross and Blue Shield.  When I signed up at ER room, the first thing I did (also that is only thing they want to see and what they care about) is my insurance information, and I provided them everything they need.  I waited for almost a hour and finally they sent a doctor to see me and treated me. One month later, I received an invoice from this doctor said by the way,, he is not at my insurance networking, I need paid hundreds dollars to him. ,,For another procedure I did there, they sent me 3 invoices with different balance dues for the same thing. I called them many times, they said I don't have to pay, they will contact my insurance company. Since then, they keep sending me at least 4 invoices said I owned them money.",Houston Methodist Sugar Land Hospital
5,"I had 3 visits to this hospital.  The first time was when I got diagnosed with pneumonia.  11PM on a Saturday... expected to see every """"Tom, Dick, and Harry"""" there from a long night.  Instead, there were 2 other people there and I went back to the back within about 10 minutes.  The doctor looked at me and it was diagnosed as pneumonia.	,	,I didn't listen to the doc and waited to follow up with my PCP and ended up having to return and was admitted... spent two weeks and it was more pl,easurable than anything I could have imagined for a hospital experience (except it would have been nice to have some DirecTV... work on that TMH- you know you want it).  14 days of wonderful care.	,	,The only downer of an experience was when my wife had some issues with her asthma and they didn't have a bed for her to spend the night, so we had to get transferred up to Tomball.  	,	,I don't know what these negative reports are from, but it wasn't anywhere near the experience I had.",Houston Methodist Willowbrook Hospital
1,"Wish I would have read these reviews before taking my son there yesterday but unfortunately when you have a """"respected hospital"""" in your back yard you expect to get above average medical care especially during an emergency. My son cut himself  pretty badly with a kitchen knife so we rushed him to the emergency room with a blood soaked towel wrapped around his hand at 1 o'clock. When we got there they took the towel off and wrapped it with an ace, without even looking at the injury. P,ut in a room and of course the obligatory ER wait even if blood is pouring out of your hand. Sorry to be long with this review but I want to make sure no one goes through what they put my son through. Wanted to do an xray but couldn't because blood was pouring our of his hand. Then they thought he cut the artery in the palm, called a hand specialist but didn't request one to come see him. They told us that he needed to be transported to Mem Hermann downtown for possible microsurgery, this without any confirmation from a hand specialist that he acutally cut the artery. At 5 fifteen an ambulance came to transfer him, this is in the middle of rush hour traffic. Arrived at  Mem Hermann at 6 thirty five and was put in the ER, remember this is one of the busiest ones in the city. We were told at Methodist that he was going to be put in a room when he got to Mem Hermann and a hand specialist was going to look at him, why that didn't happen at Methodist, I don't know.\r	,My son had to wait in that ER until 9 forty five before he was looked at by a doctor and all they did was clean the wound, irrigate it and close it with 4 stitches. He was released at 10 thirty, that's nine and a half hours to get 4 stitches to close his wound because of the incompetence of the ER staff and not doing the right thing. I found out that Mem Hermann at Memorial City had the microsurgery capabilities, 20 minutes away but of cours we were not given the option of taking him there. Pass up that ER even if you're bleeding to death, I know I will. I am pursuing further complaints against them, what happened was unacceptable to me. Too bad there isn't minus 5 star rating. Unbelievable!!!!",Houston Methodist Willowbrook Hospital
1,"I went with a cut on my finger that I could not get to stop bleeding.  The doctor was amiable and decided to dermabond it instead of stitching it, even if the blood was obviously pushing against the glue.  I asked if the dermabond would hold back the blood and he said yes.  In a matter of hours, the blood burst through and the dermabond did not work.  A call to the ER told said I could come back.  Really?  At no charge since you didn't fix it the first time?  No, of course not.  I neve,r had a problem with stitches and it is annoying that they did not take that route in the first place and now I have to pay again to get it done.  This place used to be good years ago, now I wouldn't go back.",Houston Methodist Willowbrook Hospital
2,"I also got the feeling that most all the staff did not care about the patients or any one else on the premises for	,that matter. I saw a bunch of talking and laughing between employees while ignoring basic request of the visitors (patients and others).	,I stood at a door for 30 sec do get let in. The staff was just talking away (personal stuff - not job related) , and one of them was actually facing me. This level of treatment went on for the entire two day stay in the hospital. They j,ust don't seem to understand the customer appreciation. Someone needs to tell them that the customers pay their bills. I just shake my head.",Houston Methodist Willowbrook Hospital
1,"I have frequent lab work and although all my doctors are at Methodist Medical Center the Willowbrook location is more convenient for lab work.  This morning registration could not find my faxed orders, after looking for less than a minute, I was told to take a seat and she would look for them, obviously when she finished with the line behind me.  I prepay everything because I do not have insurance.  The usual is having to wait again while they decide what to charge me and the cost is a,lways different for the same tests.  A few months ago my doctor called to tell me they ran all the wrong tests, I had to return to Willowbrook and although it was their mistake I had to pay again or they wouldn't run the tests.  I have to find another place to have blood drawn, this place is ridiculous.  Methodist Willowbrook gets an F- while Methodist Medical Center gets an A+.",Houston Methodist Willowbrook Hospital
